"Business Name","VBSC","City","State","Business Website","Business Model","CSA","Food-Hub","Cooperative","Online (Delivery or Pickup)","Legal Structure","National","Regional","State","County","Produce","Dairy","Meat","Eggs","Seafood","Value-Added/ Dry goods","Preserves/ Honey","Health/Nutrition","Fresh","Local","Sustainable/Environment","Fair","Community","Humane (Animal)","AHSF","Education (Consumers)","Education (Farmers)","Commerce/Economics (Local Economy)","Affordability","Transparency","Organic","Accessability"
"Sandhills Farm to Table Cooperative",1,"Whispering Pines","NC","http://www.sandhillsfarm2table.com/home.php","aggregator; subscription program; multi-farm CSA",0,0,1,0,"multi-stakeholder cooperative (producers, consumers, employees)",0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1
"New River Organic Growers",1,"West Jefferson","NC","http://www.newrivergrowers.com/",".",0,0,1,0,"cooperative",0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0
"Working Landscapes",1,"Warrenton","NC","http://workinglandscapesnc.org/",".",0,1,0,0,".",0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1
"Farmer Foodshare Pennies on the Pound (POP) Market",1,"Chapel Hill","NC","http://www.farmerfoodshare.org/",".",0,1,0,0,".",0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1
"Firsthand Foods, LLC",1,"Durham","NC","http://firsthandfoods.com","hybrid; farm to consumer (box delivery); farm to business/institution",0,1,0,0,"LLC",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
"The Produce Box",1,"Raleigh","NC","http://www.theproducebox.com/",".",0,1,0,0,".",0,0,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"Eastern Carolina Organics",1,"Pittsboro","NC","http://www.easterncarolinaorganics.com/",".",0,1,0,0,"LLC",,,,,1,0,0,0,0,1,1,,,1,1,,,,,,,,,,1,
"High Country CSA",1,"Banner Elk","NC","http://highcountrycsa.wix.com/2015",".",1,0,0,0,".",0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
"Walking Fish",1,"Beaufort","NC","http://www.walking-fish.org/",".",0,0,0,0,".",0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0
"Nebraska Food Cooperative",1,"Lincoln","NE","https://www.nebraskafood.org/",".",0,1,1,1,"cooperative",0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"Tomato Tomato",1,"Omaha","NE","http://tomatotomato.org/",".",1,0,0,0,,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"North Country Farmers Coop",1,"Colebrook","NH","http://ncfcoop.com/",".",0,0,1,1,"cooperative",0,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0
"NH Community Seafood",1,".","NH","http://www.nhcommunityseafood.com/",".",0,0,1,0,".",0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"Tri-County Cooperative",1,"East Windsor ","NJ","http://www.tricountycoop.net/",".",0,0,1,0,".",0,1,0,0,1,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Beneficial Farm CSA",1,"Santa Fe","NM","http://www.beneficialfarm.com","CSA; aggregator",1,1,1,1,"private",0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
"La Montanita Co-op Distribution Center",1,"Albuquerque","NM","http://lamontanita.coop/co-op-distribution-center-2/","distributor",0,1,1,0,"cooperative",0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0
"Agri-Cultura Network",1,"Albuquerque","NM","https://afsc.org/program/new-mexico-agri-cultura-network","farmer collective, aggregation, farm-to-school",1,0,1,0,"farmer collective",0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1
"Santa Fe Farmers Market Institute",1,"Santa Fe","NM","http://farmersmarketinstitute.org/",".",0,1,0,0,".",0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1
"Skaarsgard Farms",1,"Albuquerque","NM","http://skarsgardfarms.deliverybizpro.com/home.php",".",0,1,0,0,".",0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0
"Rio Arriba Farms CSA",1,"Abiquiu","NM","http://www.rioarribafarms.com/",".",1,0,0,0,".",0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1
"Adirondack Grazers Cooperative",1,"Greenwich","NY","http://adkgrazers.com","grazer cooperative; online ordering; supplier to select butchers",0,0,1,1,"cooperative",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
"Corbin Hill Food Project",1,"New York","NY","http://corbinhillfoodproject.org/",".",1,1,0,1,"non-profit",0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
"CHQ Local Food Inc",1,"Mayville","NY","http://chqlocalfood.com/home/",".",0,1,0,1,".",0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1
"FarmieMarket Online",1,"Albany","NY","https://farmiemarket.com/",".",0,1,0,1,"LLC",0,0,1,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0
"Good Food Collective-Head Water Foods, Inc",1,"Rochester","NY","http://thegoodfoodcollective.com/",".",0,1,0,1,".",0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0
"Regional Access, Inc",1,"Ithaca","NY","http://regionalaccess.net/",".",0,1,0,1,".",0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"Farmshed Harvest",1,"New Woodstock","NY","http://www.farmshedcny.com/harvest/",".",0,1,0,1,".",0,0,1,0,,,,,,,,,,1,1,,,,,,,,,,,
"Hudson Valley Bounty",1,"Hudson","NY","http://www.hudsonvalleybounty.com","farm-to-chef",0,0,0,1,".",0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0
"North Country Grown Cooperative",1,"Massena","NY","http://northcountrygrown.com/who-we-are/current-board-of-directors/",".",0,0,1,0,"cooperative",0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
"Eden Valley Growers",1,"Eden","NY","http://edenvalleygrowers.com/",".",0,0,1,0,"cooperative",0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Grange Co-packer, LLC",1,"Essex","NY","http://www.grangecopacker.com/",".",0,0,1,0,".",0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Greenmarket Co",1,"New York","NY","http://www.greenmarketco.org/","food retailers",0,1,0,0,"non-profit",0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
"Finger Lakes Fresh Food Hub",1,"Groton","NY","http://fingerlakesfresh.com/FLF/",".",0,1,0,0,".",0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1
"Growing Green Mobile Market",1,"Buffalo ","NY","http://mass-ave.org/programs/mobile-market/",".",0,1,0,0,".",0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1
"Foodlink",1,"Rochester","NY","http://foodlinkny.org/",".",0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
"Small World Food",1,"Rochester","NY","http://www.smallworldfood.com/",".",0,1,0,0,".",0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0
"Lucky Dog Local Food Hub",1,"Hamden","NY","http://www.luckydogorganic.com/#!hub/c1prx",".",0,1,0,0,".",0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
"Northeast Livestock Processing Service Company, LLC",1,"Sprakers","NY","http://nelpsc.com/",".",0,1,0,0,".",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
"Field Goods",1,"Athens","NY","http://www.field-goods.com/",".",0,1,0,0,"LLC",0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Farm to Table Co-packers",1,"Kingston","NY","http://farm2tablecopackers.com/",".",0,1,0,0,".",0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Winter Sun Farms",1,"New Paltz","NY","http://www.wintersunfarms.com/",".",1,0,0,0,".",0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Lake to River Cooperative",1,"Youngstown","OH","https://www.localfoodmarketplace.com/laketoriver/",".",0,1,1,1,".",0,0,1,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Fair Ridge Farms",1,"Hillsboro","OH","http://fairridgefarms.com/",".",1,1,0,0,".",0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0
"Shagbark Seed and Mill Company",1,"Athens","OH","http://www.shagbarkmill.com/",".",0,1,0,0,"LLC",0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
"New Agrarian Center",1,"Oberlin","OH","http://www.cityfresh.org/",".",0,1,0,0,".",0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1
"Chesterhill Produce Auction",1,"Chesterhill","OH","http://www.ohiofoodshed.org/chesterhill/","auction",0,1,0,0,".",0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"Miami Valley Farm to Chef",1,"Dayton","OH","http://www.mvfarmtochef.com/",".",0,1,0,0,".",0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
"Grow Youngstown",1,"Youngstown","OH","http://growyoungstown.org/",".",1,0,0,0,"non-profit",0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1
"Oklahoma Food Cooperative",1,"Oklahoma City","OK","http://www.oklahomafood.coop/",".",0,0,1,0,"cooperative",0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0
"Urban Agrarian",1,"Oklahoma City","OK","http://www.urbanagrarian.com/",".",0,1,0,0,".",0,0,1,0,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"Adelante Mujeres Distributor",1,"Forest Grove","OR","http://www.adelantemujeres.org/agriculture/","CSA, wholesale distributor",1,1,0,1,"non-profit",0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0
"Eat Oregon First",1,"Hillsboro","OR","http://www.eatoregonfirst.com/",".",0,0,0,1,".",0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
"Country Natural Beef",1,"Burns","OR","http://www.countrynaturalbeef.com/","multi-farm direct-to-wholesale food business chains",0,1,1,0,"cooperative",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
"Lane Local Foods",1,"Springfield","OR","http://www.lanefood.org/home.php",".",1,1,0,0,".",0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
"Gorge Grown Food Network",1,"Hood River","OR","http://www.gorgegrown.com/",".",1,1,0,0,"non-profit",0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0
"Grow Portland (Portland Growers Alliance)",1,"Portland","OR","http://www.growportland.org/growers-alliance/",".",0,1,0,0,".",0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1
"Central Oregon Locavore",1,"Bend","OR","http://www.centraloregonlocavore.org/",".",0,1,0,0,"non-profit",0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0
"Organic Produce Warehouse",1,"Ashland","OR","http://opwfresh.com/",".",0,1,0,0,".",0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
"Organically Grown Company",1,"Eugene","OR","http://www.organicgrown.com/",".",0,1,0,0,"s corp",0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0
"Hood River Organic, Inc",1,"Hood River","OR","http://hoodriverorganic.com/",".",1,0,0,0,".",0,1,0,0,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
"Penn's Corner Farm Alliance",1,"Pittsburgh","PA","http://www.pennscorner.com/",".",1,0,1,1,"cooperative",0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
"Philly CowShare",1,"Philadelphia","PA","https://www.phillycowshare.com/",".",0,1,0,1,"LLC",0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0
"Clarion River Organics",1,"Sligo","PA","http://www.clarionriverorganics.com/",".",1,1,1,0,".",0,0,1,0,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0
"Lancaster Farm Fresh Cooperative",1,"Leola","PA","http://www.lancasterfarmfresh.com/",".",1,0,1,0,".",0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0
"Northwest Pennsylvania Growers Cooperative, Inc",1,"Mercer","PA","http://www.nwpagrowers.com/",".",1,0,1,0,"cooperative",0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0
"Tuscarora Organic Growers Cooperative",1,"Hustontown","PA","http://www.tog.coop","aggregator; wholesale distributor; farm-to-business",0,0,1,0,"cooperative",0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
"Common Market Philadelphia",1,"Philadelphia","PA","http://commonmarketphila.org","distributor; farm-to-business/institution",1,1,0,0,"non-profit",0,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1
"GroundWork Farms",1,"Millheim","PA","http://www.groundworkfarms.com/",".",1,1,0,0,".",0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0
"Greensgrow Farm",1,"Philadelphia","PA","http://www.greensgrow.org/",".",1,1,0,0,".",0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
"Lackawaxen Farm Company",1,"Honesdale","PA","http://www.lfcfresh.com/",".",1,1,0,0,".",0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
"Fair Food Philly",1,"Philadelphia","PA","http://www.fairfoodphilly.org/",".",0,1,0,0,".",0,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"Farm Fresh Rhode Island - Market Mobile",1,"Pawtucket","RI","http://www.farmfresh.org/hub/","hybrid; Farm to consumer (Veggie Box); Farm to business/institution (Market Mobile)",0,1,0,1,"non-profit",0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1
"Little City Growers",1,"Providence","RI","http://www.littlecitygrowers.org/about.html",".",0,0,1,0,"cooperative",0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"GrowFood Carolina",1,"Charleston","SC","http://growfoodcarolina.com/",".",0,1,0,0,"non-profit",0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1
"Cumberland Farmer's Market",1,"Sewanee","TN","http://sewanee.locallygrown.net/",".",0,1,0,0,".",0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0
"Good Food for Good People",1,"Nashville","TN","http://goodfoodforgoodpeople.org/",".",0,1,0,0,".",0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
"Cross Timbers Food Cooperative",1,"Denton","TX","http://www.crosstimberscoop.org/",".",0,0,1,1,"cooperative",0,0,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0
"Greenling",1,"Austin","TX","http://www.greenling.com/",".",0,1,0,1,".",0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
"Bountiful Sprout",1,"Wimberley","TX","http://localfoodmarketplace.com/bountifulsprout/","aggregator; online ordering",0,1,0,1,"LLC",0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"CitySprout",1,"Austin","TX","http://www.citysprout.com/",".",1,0,0,0,".",0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1
"Farm to Table Texas",1,"Austin","TX","http://www.farmtotabletx.com/",".",,1,,,"LLC",0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0
"Local Roots Food Co-op/Lulus Local Food",1,"Goochland","VA","https://localroots.luluslocalfood.com","online marketplace",0,0,1,1,"cooperative",0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Relay Foods",1,"Charlottesville","VA","https://www.relayfoods.com/welcome",".",0,1,0,1,".",0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0
"Off the Vine Market Inc",1,"Williamsburg","VA","http://www.offthevinemarket.com/store/pc/home.asp",".",0,1,0,1,"LLC",0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0
"Coastal Farms, Inc",1,"Windsor","VA","http://www.cooppartners.coop/",".",0,1,0,1,"LLC",0,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0
"Fall Line Farms/Lulus Local Food",1,"Richmond","VA","https://falllinefarms.luluslocalfood.com","online marketplace",0,1,0,1,,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0
"Virginia Natural Fish Company",1,"Farmville","VA","http://aquafarmers.com/",".",0,0,0,1,"LLC",0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
"Arcadia Center for Sustainable Food & Agriculture",1,"Alexandria","VA","http://arcadiafood.org","farm; mobile market; food hub; farm-to-school; veteran farmer program",0,1,0,0,"non-profit",0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1
"The Farm Table",1,"Glen Allen","VA","http://www.thefarmtable.org/",".",0,1,0,0,".",0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1
"Horse and Buggy Produce",1,"Charlottesville","VA","http://www.horseandbuggyproduce.com/",".",0,1,0,0,".",0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
"Appalachian Harvest Network",1,"Abingdon","VA","http://asdevelop.org/","food product aggregation and distribution",0,1,0,0,".",0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0
"Blue Ridge Produce Company",1,"Elkwood","VA","http://blueridgeproduce.net","aggregator; distributor",0,1,0,0,"B-corp",0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
"Local Food Hub",1,"Charlottesville","VA","http://localfoodhub.org","Farm to business/institution model; distribution; educational farm",0,1,0,0,"non-profit",0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0
"EcoFriendly Foods",1,"Moneta","VA","http://ecofriendly.com/",".",0,1,0,0,"LLC",0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
"Shenandoah Food",1,"Rockbridge Baths","VA","http://www.shenandoahfood.com/",".",0,1,0,0,,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Intervale Center",1,"Burlington","VT","http://www.intervale.org/",".",0,1,0,1,".",0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1
"Farmers to You",1,"Calais ","VT","http://farmerstoyou.com/",".",0,1,0,1,"LLC",0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
"Green Mountain Farm Direct",1,"Newport","VT","http://www.greenmountainfarmdirect.org/",".",0,1,0,1,".",0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Black River Produce",1,"North Springfield","VT","http://www.blackriverproduce.com","wholesaler",0,1,0,1,"private",0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Deep Root Organic Cooperative",1,"Johnson","VT","http://deeprootorganic.coop/deeproot/",".",0,0,1,0,"cooperative",0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
"Saint Johnsbury Local Food Alliance",1,"St. Johnsbury","VT","http://www.stjalfa.org/",".",0,1,0,0,".",0,0,1,0,1,0,1,0,1,0,0,,0,1,1,0,0,0,0,1,1,0,1,0,0,1
"Mad River Food Hub",1,"Waitsfield ","VT","http://madriverfoodhub.com/",".",0,1,0,0,".",0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0
"Food Works at Two Rivers - Farm-to-Table Program",1,"Montpelier","VT","http://www.foodworksvermont.org/",".",0,1,0,0,".",0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
"Windham Food and Farm Network",1,"Brattleboro","VT","https://harvesttomarket.com/farmers-market/Windham-Farm-and-Food-Network",".",0,1,0,0,".",0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
"Vermont Quality Meats",1,"Rutland","VT","http://www.vtqualitymeats.com/",".",0,1,0,0,".",0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"Screamin' Ridge Farm",1,"Montpelier","VT","http://www.screaminridgefarm.com/",".",1,0,0,0,".",0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0
"Okanogan Producers Marketing Association",1,"Okanogan","WA","http://okanoganproducers.org/",".",1,0,1,1,"cooperative",0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
"Full Circle Farm",1,"Carnation","WA","http://www.fullcircle.com/","multi-farm direct-to-consumer business chains",0,1,0,1,".",0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1
"Northwest Farm Fresh",1,"Chewelah","WA","N/A",".",0,1,0,1,".",0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
"Acme Farms and Kitchen",1,"Acme","WA","http://www.acmefarmsandkitchen.com","box scheme",0,0,0,1,".",0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
"Seattle Tilth",1,"Seattle","WA","http://www.seattletilth.org/",".",1,1,0,0,"non-profit",0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0
"21 Acres Center for Local Food and Sustainable Living Food Hub",1,"Woodinville","WA","http://www.21acres.org/farm-to-table/regional-food-hub-at-21-acres","food hub, aggregation, distribution",0,1,0,0,"non-profit",0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
"Shepard's Grain",1,"Spokane","WA","http://www.shepherdsgrain.com/","multi-farm direct-to-wholesale food business chains",0,1,0,0,".",0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"Viva Farms",1,"Mt. Vernon","WA","http://www.vivafarms.org/",".",0,1,0,0,".",0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
"Growing Washington",1,"Bellingham","WA","http://www.growingwashington.org/",".",1,0,0,0,".",0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
"North Sound Food Hub",1,"Mt. Vernon","WA","N/A",".",,,,,".",,,,,,,,,,,,,,,,,,,,,,,,,,
"Pudget Sound Food Hub",1,,"WA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Driftless Co-Option",1,"Viroqua","WI","https://foodclub.org/driftless_cooption/login",".",0,1,1,1,".",0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0
"Auburndale Food Cooperative",1,"Auburndale","WI","http://localfoodmarketplace.com/auburndale/Default.aspx","local grocery; food co-op; online CSA",1,0,1,1,"cooperative",0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
"Appleton Food Hub",1,"Appleton","WI","https://appleton.localorbit.com/users/sign_in","online wholesaler marketplace",0,1,0,1,"non-profit",0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
"Good Earth Farms",1,"Milladore ","WI","http://www.goodearthfarms.com/","multi-farm direct-to-consumer business chains",0,0,0,1,"LLC",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"Fifth Season Cooperative",1,"Viroqua","WI","http://www.fifthseasoncoop.com","aggregator; wholesale distributor; farm-to-institution",0,1,1,0,"multi-stakeholder cooperative (producers, producer groups, processors, distributors, buyers and co-op workers)",0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0
"Cooperative Regions of Organic Producer Pools (CROPP) aka Organic Valley and Organic Prairie",1,"Westby","WI","https://www.farmers.coop/about-us/","value-added food production",0,1,1,0,"cooperative",1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0
"Wisconsin Food Hub Cooperative",1,"Madison","WI","http://wifoodhub.com","aggregator; wholesale distributor",0,1,1,0,"multi-stakeholder cooperative (producers, founders, organizational partners, and community supporters)",0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"Bayfield Regional Food Producers Coop",1,"Washburn","WI","http://bayfieldfoods.org","CSA; wholesaler; distributor; producers cooperative",1,0,1,0,"member cooperative",0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Chequamegon Food Co-op",1,"Ashland","WI","http://chequamegonfoodcoop.com/",".",0,0,1,0,"food cooperative",0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
