Business Name,VBSC,City,State,Latitude,Longitude,Description,Business Website,Business Model,CSA,Food-Hub,Cooperative,Online (Delivery or Pickup),Legal Structure,Mission Statement,National,Regional,State,County,Produce,Dairy,Meat,Eggs,Seafood,Value-Added/ Dry goods,Preserves/ Honey,Value Claims,Health/Nutrition,Fresh,Local,Sustainable/Environment,Fair,Community,Humane (Animal),AHSF,Education (Consumers),Education (Farmers),Commerce/Economics (Local Economy),Affordability,Transparency,Organic,Accessability,Services Provided ,Market Outlets,# of Producers
"Regional Access, Inc",1,Ithaca,NY,42.439604,-76.496802,"Regional Access is committed to creating a sustainable business model focused on our customers, our team of employees, and the development of local economies all over New York State. A community-oriented, grassroots company, Regional Access was built on a vision of providing ecologically responsible, locally grown food in Upstate New York. From humble beginnings in founder Gary Redmond’s garage to their current spacious modern warehouse, the company has flourished over the last 24 years, helping to redefine regional food systems and pave the way for a myriad array of new businesses and social efforts focused on improving and developing more sustainable food connections. Regional Access is pleased to serve a wide array of customers, ranging from independent retailers and restaurants, cooperative markets, grocery stores, wineries, buying clubs, institutions and individuals.  With a consistently growing demand for wholesome, transparently sourced local products, they are adding new customers daily and have an aggressive growth strategy that will enable them to reach even wider audiences throughout the North East for years to come.",http://regionalaccess.net/,.,0,1,0,1,.,,0,1,0,0,1,1,1,1,1,1,1,.,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,.,.,.
Deep Root Organic Cooperative,1,Johnson,VT,44.635606,-72.680398,"Founded in 1986, Deep Root Organic is one of the oldest co-ops of organic vegetable growers in the United States. The co-op exists to promote local, sustainable, and organic agriculture through its small, family owned farms. Due to our size and the variety of our member farms, we offer a wide range of products available throughout the year. We connect the farmer and the customer, delivering the best local organic produce and value added products to retail establishments, co-ops, restaurants, and institutions.",http://deeprootorganic.coop/deeproot/,.,0,0,1,0,cooperative,,0,0,1,0,1,0,0,0,0,0,0,.,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,.,.,14
"Fresh Food Express, LLC",1,Kansas City,MO,39.084469,-94.56303,"No inclusion/exclusion. “To assist local/regional food producers in delivering more goods more economically, more efficiently, and with less carbon footprint -- by consolidating orders and using fuel-efficient refrigerated vehicles. To expand the market for local food producers by providing the Kansas City area with convenient Farm-to-Fork online purchasing, and providing quality specialty foods and products from other regions to supplement local products as needed.   To assist the housebound and elderly of the Kansas City area by offering home-delivery of healthy food and other Green products. Wouldn't you rather that your dollars circulate in our own community, with our own neighbors -- strengthening local businesses? The more of our own money stays in Kansas City, the better economic health we will all enjoy! More money -- for jobs, schools, community development and local infrastructure.",http://www.freshfoodexpress.com/,.,0,1,0,0,LLC,,0,1,0,0,1,1,1,1,0,1,0,.,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,.,.,.
Beans and Greens Mobile Market,1,Kansas City,MO,39.084469,-94.56303,States they deliver to markets in both Kansas and Missouri using their mobile style system that operates like a small farmer’s market in “desert areas” where produce is hard to come by. Mission is to provide low-income,http://beansandgreens.org,SNAP match program at farmers markets,0,0,0,0,non-profit,,0,1,0,0,1,0,0,0,0,0,0,nourishment for people and community;  “creating healthy commerce.”,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,match on SNAP is $1 for $1 up to $25 per week per customer at most markets,.,
Farm to Table Co-packers,1,Kingston,NY,41.928781,-74.00237,"To provide superior service throughout the entire co-packing experience, while producing the highest qualities products for our clients. Farm to Table Co-packers is a full service contract packaging facility that produces everything from frozen vegetables and soups to jarred pickles and sauces. Whether you are a farmer, a food entrepreneur, a food service director, or a store looking for a private label, Farm to Table Co-packers has the experience and local connections to get your product made and ready for market. Farm to Table Co-Packers can help you with all your co-packing needs.",http://farm2tablecopackers.com/,.,0,1,0,0,.,,0,0,1,0,1,0,0,0,0,0,0,.,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.
Rolling Prairie Farmers Alliance,1,Lawrence,KS,38.971938,-95.23595,"Every week, starting in May, we deliver a bag of fresh produce for you at one of four drop off sites. You choose which site is most convenient for you. Typically, a regular bag includes 6-8 produce items, a few of which offer you a choice (say, between carrots and beets, or between zucchini and cucumbers). The economy bag (available in Lawrence only) usually includes 5-7 items, some of them in smaller portions. All the produce is cleaned and bunched, and ready to bag. We also start the season for a limited number of customers in Lawrence at least two weeks early (around the middle of April), and extend it a few weeks after frost. In 2008 we were able to supply over 40 customers in Lawrence through most of November and into the first week of December. Rolling Prairie is the oldest Midwest vegetable cooperative.   The original group of farmers joined together in 1994 providing a vegetable subscription service to Lawrence and Kansas City.  Over 300 households receive a weekly bag of locally grown produce during the growing season.  While not all of our farms are now certified organic, we still follow the same natural, ecologically sustainable, organic practices for growing food we have used since we started nineteen years ago",http://www.rollingprairie.net/,.,0,0,1,0,.,,0,0,1,0,1,0,0,0,0,0,0,.,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,.,.,.
The Farmer's Cow,1,Lebanon,CT,41.63621,-72.212579,"The Farmer’s Cow is a group of six Connecticut family-owned dairy farms that produce the highest quality fresh products including milk, cream, ice cream and half & half. We also sell Connecticut-sourced eggs, apple cider, summer beverages and locally roasted coffee. The Farmer’s Cow is a group of six Connecticut family dairy farms working for the future of our families and dairy businesses. We produce milk, half and half, eggs, coffee, cider, summer beverages, ice cream sandwiches and ice cream. People visiting our farms would often ask, “Where can we buy your milk?” That’s when we realized that people were looking for local, naturally-produced products, instead of milk and other products from unknown origins. So we formed our own company and The Farmer’s Cow was born. The Farmer’s Cow is now available in Southern New England and New York",http://www.thefarmerscow.com/,.,0,1,0,0,.,,0,0,1,0,0,1,0,0,0,1,0,.,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,.,.,.
Lancaster Farm Fresh Cooperative,1,Leola,PA,40.087875,-76.184953,"(LFFC) is a non-profit organic farmer’s cooperative of over 100 family farmers headquartered in Lancaster County, Pennsylvania. We focus on creating healthy high quality foods from our highly maintained and enriched soils on our small-scale family farms. LFFC provides fresh, certified organic fruits, vegetables, and other farm fresh products through a subscription program also known as Community Supported Agriculture (CSA) program. The produce sold through LFFC is certified organic unless otherwise noted. We support farmers that are looking to make their farms sustainable. We also support local farms that use Integrated Pest Management (I.P.M.) techniques. The animal products that you purchase are from small family farms with small herds and flocks. These animals always have access to pasture and enjoy the freedom of foraging through the grasses with the earth under their feet. When you purchase LFFC products you can be confident that you will receive the freshest farm products, raised humanely, with consideration for the land, animals and people. Lancaster Farm Fresh Cooperative is owned by the farmers working in cooperation with each other to bring you healthy, quality foods.",http://www.lancasterfarmfresh.com/,.,1,0,1,0,.,,0,0,1,0,1,1,1,0,0,1,1,.,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,.,.,.
OR FoodEx,1,Lexington,MA,42.447318,-71.2245,"We provide full producer traceability. This allows buyers to know exactly where their food comes from and rest assured that their purchasing dollars go right into the hands of the people who deserve them most: the farmers, ranchers, fishermen, and specialty producers of New England. By eliminating layers of margin typical of broadline distributors, we offer you more efficient access to local and specialty products. We are not in the business of buying local products, marking it up, and reselling it to you for maximum profit. Our distribution costs are fixed, fair, and transparent. We bring you high-quality local product at a price you can afford, while delivering more value back to the producers. You can finally realize the benefits of sourcing locally: ultra-fresh produce, traceable proteins, and quality local products along with the stories behind them, all while supporting the local economy. Produce, dairy, proteins, dry, specialty, and frozen goods – we know how to store and move your product safely and securely to its destination",http://orfoodex.com/,.,0,1,0,0,LLC,,0,0,1,0,1,1,1,0,1,1,0,.,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,.,.,.
"Northern Girl, LLC",1,Limestone,ME,46.908655,-67.825852,"At Northern Girl, LLC, we hope to bring opportunity to growers in Maine’s largest and most remote county.  We hope to keep our economy thriving through building added-value for the products of a multitude of small farms.  We hope to bring delicious local options to schools, restaurants, and retailers across New England.  We hope to keep Maine at the forefront of the local foods movement by rebuilding Maine’s lost food processing infrastructure. Value-added processing was Kate and Jim Cook’s big idea.  Years later, their two daughters, Leah and Marada Cook, along with the girls’ business partner and general manager Chris Hallweaver, have brought Northern Girl, LLC, to the marketplace.  The premise is simple:  sell the top notch percentage of each of our farmer’s crops on the fresh market, and process the culls and surplus to feed locavores the rest of the year.  Its the kind of thinking that keeps farms in business, and draws young farmers to Aroostook",http://northerngirlmaine.com/,.,0,1,0,0,LLC,,0,1,0,0,1,1,0,1,0,1,1,.,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,.,.,.
Nebraska Food Cooperative,1,Lincoln,NE,40.800055,-96.6674,"NFC is a marketing and distribution service designed to improve market access for farmer producers and local food access for consumers. Producers (farmers and ranchers) across Nebraska grow fresh food and list it on the NebraskaFood.org website. Customers can read about each producer’s growing practices in regard to chemicals, pesticides, antibiotics, etc., and judge for themselves the best products for their family. Products range from natural and organic meats, eggs, artisan cheeses, fruit, herbs, breads, coffees, grains, jams/jellies, personal care products, and all types of in-season vegetables — really, anything that is Nebraska raised or grown with foremost attention to its healthy and nutritious aspects",https://www.nebraskafood.org/,.,0,1,1,1,cooperative,,0,0,1,0,1,1,1,1,1,1,1,.,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,.,.,.
Farm2Work,1,Little Rock,AR,34.746481,-92.289595,No inclusion or exclusion criteria but just sourcing local.,http://farm2work.locallygrown.net/,.,0,0,0,1,.,,0,0,1,0,1,1,1,1,0,1,1,.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.
Little Rock Local Food Club,1,Little Rock,AR,34.746481,-92.289595,,http://littlerock.locallygrown.net/,.,0,1,0,0,.,,0,0,1,0,1,1,1,1,0,1,1,.,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,.,.,.
FarmFresh2U,1,Longwood,FL,28.700723,-81.349278,"Our mission is simple: to provide the best products and service to our customers at the lowest prices possible. We take great pride in our company, our commitment to customer service and in the products we sell. Our online store is designed to provide you with a safe and secure environment to browse our product catalog. Let's be honest, everyone wants their family to eat the best quality foods available but, we all know how darn expensive it is. Farmfresh2u is a step in the right direction. We know the prices are still higher than that of normal less healthy food. But, we have taken great strides toward reducing the cost of these sought after and much healthier - grass fed meats, organic fruits, and organic vegetables.",http://www.farmfresh2u.us/,.,0,1,0,1,.,,1,0,0,0,1,1,1,1,1,1,1,.,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,.,.,.
Village Market Place,1,Los Angeles,CA,34.054394,-118.243941,"Through the Village Market Place we sell and distribute fresh “beyond organic” produce from CSU’s urban mini-farms and local farmers. We also sell CSU’s own variety of packaged dried culinary and medicinal herbs. We currently sell through two Community Farm Stands and the Farm Fresh Produce Bag subscription program. We are also able to serve local restaurants and caterers with fresh seasonal beyond organic produce at a competative price, and in the next year hope to start working with corner stores in our community to help them offer fresh and healthy food to their customers. The Village Marketplace increases access to healthy foods in our community while creating meaningful jobs for youth and adults. The project is also an income generating source for CSU, helping to reduce our dependence on foundation grants. Youth who participate in the Growing Healthy and From the Ground UP! Programs participate in all aspects of the Village Marketplace",http://csuinc.org/programs/village-market-place/,.,0,1,0,0,.,,0,0,0,1,1,0,0,0,0,0,0,,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,.,.,.
eroots,,Los Angeles,CA,34.054394,-118.243941,No inclusion/exclusion.,https://www.eroots.org/,.,,,,,.,,,,,,,,,,,,,.,,,,,,,,,,,,,,,,.,.,.
Grow Farms (Horton Fruit Company),1,Louisville,KY,38.254238,-85.759407,"No inclusion/exclusion or values that make the organization unique. “Grow Farms is a grower and distributor of high-quality, regionally grown fruits and vegetables. We have acreage in production in Kentucky, Indiana, Ohio, Tennessee, and we are currently expanding to other states. Grow Farms helps its producers diversify and increase their operations by leveraging our extensive distribution network. These family farms supply consumers with the fresh locally grown products that they demand, while also helping to reduce food miles",http://www.growfarms.com/,.,0,1,0,0,.,,0,1,0,0,1,0,0,0,0,0,0,.,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,.,.,.
World PEAS Marketing Cooperative,1,Lowell,ME,45.187837,-68.4678,"No evidence of added value or production practices required. New Entry helped form the World PEAS Coop in 2005 with the goal to help immigrant and refugee farmers sell more of their produce to new audiences at higher prices. The 2009 growing season marks New Entry’s fourth year supporting the World PEAS Community Supported Agriculture (CSA) project. Part of a growing movement of direct marketing and CSAs, the World PEAS Cooperative provides weekly shares of fresh, locally-grown veggies for member families. As “shareholders” in farm operations, member families make an advanced commitment to supply some costs of production in return for a variety of fresh vegetables. These shares provide enough produce for member families of four to enjoy for each week of the 18-week season, and they consist of summertime favorites like tomatoes and peppers as well as ethnic, specialty vegetables from our farmers’ home countries",http://nesfp.org/worldpeas,.,1,1,0,0,.,,0,0,1,0,1,0,0,0,0,0,0,.,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,.,.,.
Wisconsin Food Hub Cooperative,1,Madison,WI,43.074761,-89.383761,"The Wisconsin Food Hub Cooperative (WFHC) is a farmer-led cooperative owned by the producers and the Wisconsin Farmers Union.  The WFHC is dedicated to securing the most profitable markets for our producer-members. The hub makes it easy for the retail, institutional, and foodservice sectors to buy locally.  The WFHC helps local farmers by providing them with the opportunity, through marketing, sales, aggregation, and logistics, to access wholesale markets they could not access easily before.The WFHC is committed to building an economically sustainable local food network. In its first year of operation the WFHC is concentrating on marketing and sales, as well as logistics and transportation, of the produce and value-added products of its members.  The WFHC sells all products under the cooperative name as a brand, while maintaining farmer identity and farm brands from the farmer to the end market",http://wifoodhub.com,aggregator; wholesale distributor,0,1,1,0,"multi-stakeholder cooperative (producers, founders, organizational partners, and community supporters)","""The Wisconsin Food Hub Cooperative (WFHC) is a farmer-led cooperative owned by the producers and the Wisconsin Farmers Union.  The WFHC is dedicated to securing the most profitable markets for our producer-members.""",0,0,1,0,1,1,1,0,0,1,1,economically sustainable food network,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"marketing, sales, aggregation, and logistics","retail, institution, foodservice",18
Farm Direct Coop,1,Marblehead,MA,42.500096,-70.857825,"The FDC works with over 60 farms, dairies and local vendors to bring the freshest possible local and organic food to your communites. Joining the FDC supports local farms and our local economy. Farm Direct Co-op is a not-for-profit member organization with the mission of promoting environmentally sustainable lifestyle options through the distribution of locally grown organic food.  Environmental sustainability is based upon reverence and respect for the natural resources which sustain life. The goal is to meet our needs while taking no more from the earth than can be replenished. This ensures a healthy, productive environment for generations to come. Supporting local, ecologically sound agriculture is one step we can take toward achieving a more sustainable lifestyle. Buying locally grown food conserves fuel and reduces pollution by shortening shipping distances. Local food is also fresher, and therefore tastier and more nutritious. Choosing organically grown food provides for the conservation of our valuable agricultural soils. Supporting local farmers contributes toward preservation of the rural character of the New England landscape.”",http://www.farmdirectcoop.org/,.,0,1,0,0,cooperative,,0,1,0,0,1,1,0,1,0,1,0,.,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,.,.,37
New North FL Cooperative,1,Marianna,FL,30.77436,-85.226873,"A group of innovative African-American farmers formed the New North Florida Cooperative Association Inc. in 1995.  The goal of the cooperative was to provide marketing services to the participating farmers, collectively sell produce to markets such as local school districts, and ultimately to increase the amount of product being sold, thereby increasing the farmers’ income. The Cooperative focuses on three or four main items and sells to schools year-round.  The items are incorporated into menu planning, as a side dish or with fresh fruit as dessert.  Products sold to schools have included collard greens, sweet potatoes, green beans, field peas, muscadine grapes, turnip greens, strawberries, blackberries, and watermelon. Equipment purchases automated the job of cleaning, and processing, packaging and storing fresh products enabled the Cooperative to provide value-added products. The New North Florida Cooperative Association Inc. handles most of the deliveries to the school districts, although they do work with produce vendors as well.  The produce is labeled with a logo and nutritional analysis.  Deliveries are made two to three days per week, depending upon school menus.  All cooperative members go out of their way to be helpful and courteous when delivering the produce; they unload the boxes and stack them neatly in district or school storage facilities",http://newnorthfloridacoop.com/index_files/nnfc.htm,.,0,0,1,0,cooperative,,0,0,1,0,1,0,0,0,0,0,0,.,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,.,.,.
Big River Farms (Minnesota Food Association),1,Marine on St. Croix,MN,45.19773,-92.780221,"MFA provides a full range of educational programming about organic agriculture to beginning farmers and to all members of the community interested in learning more. Our unique approach uses the rich resources of a Certified Organic farm, located within the 7-county Twin Cities Metro, to engage our constituents directly in the lives of organic farmers and the production of the food they eat.",http://www.mnfoodassociation.org/big-river-farms-csa,multiple farmer CSA,1,0,0,0,non-profit,"Minnesota Food Association's mission is to build a more sustainable food system based on social, economic and environmental justice. ",0,0,1,0,1,0,0,0,0,0,,certified organic,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,works with socially-disadvantaged farmers including immigrants and refugees,.,.
North Country Grown Cooperative,1,Massena,NY,44.928105,-74.891865,"NORTH COUNTRY GROWN COOPERATIVE is a farmer-owned and operated cooperative that pools local seasonal produce from its members and markets to local colleges, restaurants, schools, hospitals and other institutions. NCGC returns to farmers a large share of the food dollar, delivers fresh, healthy seasonal produce to its customers, usually in less than 24 hours from the time of harvest, and supports environmentally sound farming systems. Products offered by the cooperative include vegetables, fruits, cooking oils, meats, maple syrup, and honey. Established on February 4, 2005 by St. Lawrence County producers, the cooperative currently has 28 members and several non-member growers selling to over 20 customers",http://northcountrygrown.com/who-we-are/current-board-of-directors/,.,0,0,1,0,cooperative,,0,0,1,0,1,0,1,0,0,0,1,.,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,.,.,.
CHQ Local Food Inc,1,Mayville,NY,42.253947,-79.504491,"The mission of Chautauqua Local Food Inc. is to support and improve access to a locally-based food system while conveniently providing quality, sustainable products from Chautauqua County, NY region growers/producers to local conscientious consumers at a fair market price. HQ Local Food sources from Chautauqua County, NY region’s certified organic &/or sustainable farms and delivers directly to area chefs, homes and special events.",http://chqlocalfood.com/home/,.,0,1,0,1,.,"The mission of Chautauqua Local Food Inc. is to support and improve access to a locally-based food system while conveniently providing quality, sustainable products from Chautauqua County, NY region growers/producers to local conscientious consumers at a fair market price. ",0,0,1,0,1,1,1,1,0,1,1,.,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,.,.,.
Meadville Market House,,Meadville,PA,41.641445,-80.151449,a single store not a VBSC,http://www.meadvillemarkethouse.org/,.,,,,,.,,,,,,,,,,,,,.,,,,,,,,,,,,,,,,.,.,.
Inland Orange Conservancy (Old Grove Oranges),1,Mentone,CA,34.070013,-117.134481,"no inclusion or exclusion. Old Grove Farm Share is a group of 28 farmersOur Farm Share is run by the members of our community for the members of our community – it’s entirely community driven. We’re a grass roots movement that believes in bucking the industrial food system and recreating what our parents, and their parents before them, had – a wholesome, local food shed that works as an integrated whole. That’s where we, and you, come in. Old Grove Farm Share is a joint effort between a coalition of local farmers, passionate volunteers, near-by businesses, and you! You can read more about what makes our food so healthy and about our farms, here.",http://oldgrovefarmshare.com/,.,0,1,0,0,.,,0,0,1,0,1,0,0,0,0,0,0,.,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,.,.,.
"Northwest Pennsylvania Growers Cooperative, Inc",1,Mercer,PA,41.333454,-80.301441,"The Northwest Pennsylvania Growers Cooperative is a cooperative of farmers from Butler, Mercer, Lawrence, Crawford, and Venango counties dedicated to bringing you fresh, natural/organic, local produce every season of the year. We are your local source for all-natural/organic produce, meats, honey, eggs, bath products, and much more. Our produce comes from eighteen small family farms in northwestern Pennsylvania that use organic growing practices.  This means that they are organic in practice but don’t have certification – an expensive process that makes food with the organic label unaffordable for many – so they can keep their prices low for us",http://www.nwpagrowers.com/,.,1,0,1,0,cooperative,,0,0,1,0,1,1,1,1,0,1,1,.,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,.,.,.
"Polk Fresh Foods, Inc",1,Mill Spring,NC,35.297666,-82.161017,"Virtual farmers market that I do not believe is a VBSC. Polk Fresh Foods is a virtual food hub that manages the sourcing, marketing and distribution of local agricultural products. The distribution is mostly done online with the buyer knowing exactly where his or her food is being grown",https://www.polkfreshfoods.com/,.,1,1,0,1,.,,0,0,1,0,1,1,1,1,0,1,1,.,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.
Good Earth Farms,1,Milladore ,WI,39.78373,-100.445882,"Good Earth Farms, (not to be confused with or family's farm ""Gifts From the Good Earth Farm"" is the culmination of years of friendships between our farm and five other organic pasture-raised farm families in Wisconsin. On our farm, all of the land we own or rent is kept in permanent sod.  We try to minimize the disturbance of soil from cultivation so that the roots of our grasses can build the organic matter in the soil.  When we do need to work the ground, it is worked and reseeded immediately, it doesn't sit bare over the winter to erode in the wind.  Second, we protect and enhance the fragile pieces of the landscape such as wetlands, waterways and woodlands.  Finally, we don't use man-made chemicals or fertilizers on our farm.  We're not certified organic because it's a sales pitch, we're certified organic because it's what we believe in.”",http://www.goodearthfarms.com/,multi-farm direct-to-consumer business chains,0,0,0,1,LLC,.,1,0,0,0,0,0,1,0,0,0,0,.,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,.,.,6
GroundWork Farms,1,Millheim,PA,40.890901,-77.476659,"GroundWork Farms aims to provide an abundant and reliable source of fresh, healthy foods to grocery stores, restaurants, and individuals. We are currently laying the groundwork for an effort that may one day evolve into a farmer-owned cooperative, supporting a large number of local farmers and supplying food to a great many members of our community. GroundWork Farms moves beyond the traditional produce CSA model to one that offers a greater variety of local food choices. To this end, we are offering dairy, egg, bread, and herb shares, in addition to a season’s worth of fresh vegetables",http://www.groundworkfarms.com/,.,1,1,0,0,.,,0,0,1,0,1,1,0,1,0,1,0,.,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,.,.,.
Farm-to-Chef,,Modena,NY,41.668427,-74.102644,Not enough information and little information gathered implied there is no inclusion/exclusion.,N/A,.,,,,,.,,,,,,,,,,,,,.,,,,,,,,,,,,,,,,.,.,.
EcoFriendly Foods,1,Moneta,VA,37.181254,-79.617254,"To create sustainable networks of enlightened farmers who raise eco-friendly livestock and food crops that nourish people and the land. EcoFriendly Foods is a pioneer in sustainable, ethical farming and a leader in promoting the growing of pasture-fed livestock. From its farmer network to its USDA processing plant to its legions of loyal customers, the entire organization is driven by a commitment to innovative, environmentally conscious business operations. Our humanely raised, locally produced foods are targeted to enlightened chefs and consumers seeking healthier, more environmentally beneficial alternatives to meat products from large-scale, intensive production systems, which typically compromise animal well-being, harm the environment, and produce products of less-than-ideal culinary quality.",http://ecofriendly.com/,.,0,1,0,0,LLC,To create sustainable networks of enlightened farmers who raise eco-friendly livestock and food crops that nourish people and the land.,0,1,0,0,0,0,1,0,0,0,0,.,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,.,.,.
Food Works at Two Rivers - Farm-to-Table Program,1,Montpelier,VT,44.260015,-72.57536,"Your one-stop-shop for FRESH, LOCAL, ORGANIC food. Farm-to-Table (FTT) is a year-round weekly distribution service of fresh local foods in Washington County. In short, FTT markets and distributes local farmers' food. Provide universal access to the freshest local foods in Central Vermont. Supplement food access with the educational outreach needed to make best use of these foods. The vision upon which the Farm-to-Table Program operates is simple but powerful: to make available to all members of our society food which is fresh, healthy, grown in a sustainable manner, benefiting the local economy, connecting us to our neighbors and to the soil itself. Food Works at Two Rivers Center has long been involved in education and activism concerning issues of food, nutrition, agriculture, and sustainability.",http://www.foodworksvermont.org/,.,0,1,0,0,.,,0,0,0,1,1,1,1,1,0,1,1,.,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,.,.,.
Screamin' Ridge Farm,1,Montpelier,VT,44.260015,-72.57536,"no inclusion/exclusion, seems like single farm. Super-fresh ingredients from nearby farms give our products flavor and energy. There’s no need to add sugar or a bunch of salt, so they're really healthy and they taste fantastic.",http://www.screaminridgefarm.com/,.,1,0,0,0,.,,0,0,1,0,1,1,1,1,0,1,0,.,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,.,.,.
Viva Farms,1,Mt. Vernon,WA,48.419999,-122.326114,"Viva Farms provides subsidized resources to new farmers. As a farmer at Viva, you will have access to all things necessary to start your own farm business, without the huge initial investment. Resources include tractors and equipment, greenhouses, irrigation, access to markets through Viva's farm stand and wholesale program, training and technical assistance, organic certification, community, and more! Core areas of support include organic production practices, marketing, sales, distribution, record keeping and liability management. Farmers also complete courses in WSU’s Cultivating Success. Each 12 week course is offered annual Sustainable Small Farming and Ranching in the fall, and Agricultural Entrepreneurship and Farm Business Planning in the spring. The farm incubator is not an end point for farmers. It is a starting point to transition them to farm ownership and secure long-term tenure. Once farmers establish stable agricultural enterprises at the incubator, Viva Farms will help them relocate to new land and continue growing their operations",http://www.vivafarms.org/,.,0,1,0,0,.,,0,0,1,0,1,0,0,0,0,0,0,.,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,.,.,.
North Sound Food Hub,1,Mt. Vernon,WA,48.419999,-122.326114,Now becoming Pudget Food Hub,N/A,.,,,,,.,,,,,,,,,,,,,.,,,,,,,,,,,,,,,,.,.,.
Sustainable Nantucket's Farmers & Artisans Market,1,Nantucket,MA,41.265718,-70.068314,"Sustainable Nantucket is a 501 (c) 3 nonprofit organization that is cultivating a healthy Nantucket by building a more locally-based and self-reliant food system on-island,  and a strong local economy. These efforts include expanding agricultural demand and production; increasing access to local food for the community,through our farmers market and in our restaurants and schools; and educating our community about sustainability. Building a more locally based, self-reliant food economy – one in which sustainable food production, processing, distribution, and consumption is integrated— enhances the economic, environmental and social health of  our island, and improves our long-term, overall sustainability. Sustainable Nantucket’s (SN) programs represent a multi-level strategy designed to rebuild the local food system through education, advocacy, training, and partnerships that include the next generation of farmers and community stakeholders",http://www.sustainablenantucket.org/,.,0,0,0,0,.,,0,0,1,0,1,0,0,0,0,0,0,.,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,.,.,.
Good Food for Good People,1,Nashville,TN,36.16223,-86.774353,"No value-added but more focused on access for low-income and health,  “It has taken us a decade to declare our true intention. We want to love on our community. That is why we gather amazing food, stage sweet events and invite all comers to get what they need. In that space we have a chance to change the world.",http://goodfoodforgoodpeople.org/,.,0,1,0,0,.,,0,0,0,1,1,1,1,1,0,0,0,.,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,.,.,.
Farm 2 Family Direct,1,Nevada City,CA,39.261561,-121.016059,"Our Virtual Farmers Market also has a ""Non Certified Section"" where you can list your Homemade Cottage Food Products, Handmade Soaps, Health & Beauty Products, Home Crafts, Fiber Products, Artwork and other items. Production practices required include USDA Certified Organic, Certified Naturally Grown, and farmers must sign a pledge to follow other standards.",http://www.farm2familydirect.com/,.,0,1,1,1,cooperative,,0,1,0,0,1,1,1,1,0,1,1,.,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,.,.,.
Holly Grove Market and Farm,1,New Orleans,LA,29.949932,-90.070116,"The Hollygrove Market and Farm (HM&F) is a urban farm, local produce market, and community garden space located in the heart of New Orleans.  Our collaborative partners include Carrollton-Hollygrove Community Development Corporation, New Orleans Food & Farm Network, Tulane City Center, Trinity Christian Community, and the Master Gardeners of New Orleans. Hollygrove Market and Farm exists to increase accessibility of fresh produce to Hollygrove, surrounding underserved neighborhoods, and all of New Orleans while promoting sustainability through support of local farmers and the local economy as well as acting as a demonstration site for environmentally sustainable practices. In addition to supporting the development of community gardens and providing training programs, the farm serves as a demonstration site for visitors interested in adopting environmentally sustainable practices. Features such as composting, cistern irrigation, recycling, chicken coops, and sustainable gardening all serve this purpose and are vital components of the farm.",https://hollygrovemarket.com/,.,0,1,0,1,LLC,,0,1,0,0,1,1,1,1,0,1,1,.,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,.,.,.
