Business N,VBSC,City,State,Business W,Business M,CSA,Food-Hub,Cooperativ,Online (De,Legal Stru,National,Regional,County,Produce,Dairy,Meat,Eggs,Seafood,Value-Adde,Preserves/,Health/Nut,Fresh,Local,Sustainabl,Fair,Community,Humane (An,AHSF,Education,Commerce/E,Affordabil,Transparen,Organic,Accessabil,addrtype,addrlocat,lon,lat
Indian Springs Farmer Association,1,Petal,MS,http://www.federationsoutherncoop.com/coopmarket/indianspr.htm,food product aggregation and distribution,0,0,1,0,cooperative,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-89.26006,31.34656
Western Montana Growers Cooperative,1,Arlee,MT,http://wmgcoop.com/,.,1,0,1,0,.,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,-82.09459,38.73258
Quality Foods Distributing,1,Bozeman,MT,http://www.qfdistributing.com/,.,0,1,0,0,.,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,-111.04467,45.67998
"Polk Fresh Foods, Inc",1,Mill Spring,NC,https://www.polkfreshfoods.com/,.,1,1,0,1,.,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-82.16102,35.29767
Down East Connect,1,Whiteville,NC,http://www.farmersfreshmarket.org/downeast/,.,1,1,0,1,.,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-78.70307,34.33878
Feast Down East,1,Burgaw,NC,http://www.feastdowneast.org/,.,0,1,0,1,.,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,-77.9261,34.55211
"GO Local NC Farms, LLC",1,Concord,NC,https://www.golocalncfarms.com/main/default.aspx,.,0,1,0,1,LLC,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,-80.57974,35.40938
Community Nutrition Partnership,1,Durham,NC,http://www.cnpnc.org/,.,0,0,0,1,non-profit,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,-78.92934,36.05686
Sandhills Farm to Table Cooperative,1,Whispering Pines,NC,http://www.sandhillsfarm2table.com/home.php,aggregator; subscription program; multi-farm CSA,0,0,1,0,"multi-stakeholder cooperative (producers, consumers, employees)",0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,-79.82948,36.47958
New River Organic Growers,1,West Jefferson,NC,http://www.newrivergrowers.com/,.,0,0,1,0,cooperative,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,-81.49288,36.40374
Working Landscapes,1,Warrenton,NC,http://workinglandscapesnc.org/,.,0,1,0,0,.,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,-76.7724609375,32.175612478499346
Farmer Foodshare Pennies on the Pound (POP) Market,1,Chapel Hill,NC,http://www.farmerfoodshare.org/,.,0,1,0,0,.,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,-79.06833,35.89849
"Firsthand Foods, LLC",1,Durham,NC,http://firsthandfoods.com,hybrid; farm to consumer (box delivery); farm to business/institution,0,1,0,0,LLC,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,-78.92934,36.05686
The Produce Box,1,Raleigh,NC,http://www.theproducebox.com/,.,0,1,0,0,.,0,0,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-78.68767,35.72072
Eastern Carolina Organics,1,Pittsboro,NC,http://www.easterncarolinaorganics.com/,.,0,1,0,0,LLC,,,,,1,0,0,0,0,1,1,,,1,1,,,,,,,,,,1,,-79.17717,35.72015
High Country CSA,1,Banner Elk,NC,http://highcountrycsa.wix.com/2015,.,1,0,0,0,.,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,-81.8715,36.16318
Walking Fish,1,Beaufort,NC,http://www.walking-fish.org/,.,0,0,0,0,.,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,-76.66382,34.71822
Nebraska Food Cooperative,1,Lincoln,NE,https://www.nebraskafood.org/,.,0,1,1,1,cooperative,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-96.71418,40.85782
Tomato Tomato,1,Omaha,NE,http://tomatotomato.org/,.,1,0,0,0,,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-96.01732,41.32937
North Country Farmers Coop,1,Colebrook,NH,http://ncfcoop.com/,.,0,0,1,1,cooperative,0,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,-71.49592,44.89449
NH Community Seafood,1,.,NH,http://www.nhcommunityseafood.com/,.,0,0,1,0,.,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,-71.6554,43.48491
Tri-County Cooperative,1,East Windsor,NJ,http://www.tricountycoop.net/,.,0,0,1,0,.,0,1,0,0,1,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-74.58127,40.24233
Beneficial Farm CSA,1,Santa Fe,NM,http://www.beneficialfarm.com,CSA; aggregator,1,1,1,1,private,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,-105.8017,35.79566
La Montanita Co-op Distribution Center,1,Albuquerque,NM,http://lamontanita.coop/co-op-distribution-center-2/,distributor,0,1,1,0,cooperative,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,-106.65099,35.0841
Agri-Cultura Network,1,Albuquerque,NM,https://afsc.org/program/new-mexico-agri-cultura-network,"farmer collective, aggregation, farm-to-school",1,0,1,0,farmer collective,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,-106.65099,35.0841
Santa Fe Farmers Market Institute,1,Santa Fe,NM,http://farmersmarketinstitute.org/,.,0,1,0,0,.,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,-105.8017,35.79566
Skaarsgard Farms,1,Albuquerque,NM,http://skarsgardfarms.deliverybizpro.com/home.php,.,0,1,0,0,.,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,-106.65099,35.0841
Rio Arriba Farms CSA,1,Abiquiu,NM,http://www.rioarribafarms.com/,.,1,0,0,0,.,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,-106.31867,36.20703
Adirondack Grazers Cooperative,1,Greenwich,NY,http://adkgrazers.com,grazer cooperative; online ordering; supplier to select butchers,0,0,1,1,cooperative,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,-73.49872,43.09063
Corbin Hill Food Project,1,New York,NY,http://corbinhillfoodproject.org/,.,1,1,0,1,non-profit,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,-73.34261,40.68118
CHQ Local Food Inc,1,Mayville,NY,http://chqlocalfood.com/home/,.,0,1,0,1,.,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,-79.50449,42.25395
FarmieMarket Online,1,Albany,NY,https://farmiemarket.com/,.,0,1,0,1,LLC,0,0,1,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,-73.76828,42.63295
"Good Food Collective-Head Water Foods, Inc",1,Rochester,NY,http://thegoodfoodcollective.com/,.,0,1,0,1,.,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,-77.57155,43.10805
"Regional Access, Inc",1,Ithaca,NY,http://regionalaccess.net/,.,0,1,0,1,.,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-76.4968,42.4396
Farmshed Harvest,1,New Woodstock,NY,http://www.farmshedcny.com/harvest/,.,0,1,0,1,.,0,0,1,0,,,,,,,,,,1,1,,,,,,,,,,,,-75.85436,42.8484
Hudson Valley Bounty,1,Hudson,NY,http://www.hudsonvalleybounty.com,farm-to-chef,0,0,0,1,.,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,-73.79096,42.25286
North Country Grown Cooperative,1,Massena,NY,http://northcountrygrown.com/who-we-are/current-board-of-directors/,.,0,0,1,0,cooperative,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,-74.89186,44.9281
Eden Valley Growers,1,Eden,NY,http://edenvalleygrowers.com/,.,0,0,1,0,cooperative,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-78.89698,42.65228
"Grange Co-packer, LLC",1,Essex,NY,http://www.grangecopacker.com/,.,0,0,1,0,.,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-73.7542,44.06389
Greenmarket Co,1,New York,NY,http://www.greenmarketco.org/,food retailers,0,1,0,0,non-profit,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,-73.34261,40.68118
Finger Lakes Fresh Food Hub,1,Groton,NY,http://fingerlakesfresh.com/FLF/,.,0,1,0,0,.,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,-76.36662,42.58669
Growing Green Mobile Market,1,Buffalo,NY,http://mass-ave.org/programs/mobile-market/,.,0,1,0,0,.,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,-78.7974,42.87629
Foodlink,1,Rochester,NY,http://foodlinkny.org/,.,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,-77.61521,43.15729
Small World Food,1,Rochester,NY,http://www.smallworldfood.com/,.,0,1,0,0,.,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,-77.57155,43.10805
Lucky Dog Local Food Hub,1,Hamden,NY,http://www.luckydogorganic.com/#!hub/c1prx,.,0,1,0,0,.,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,-74.99461,42.1912
"Northeast Livestock Processing Service Company, LLC",1,Sprakers,NY,http://nelpsc.com/,.,0,1,0,0,.,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,-74.51347,42.89146
Field Goods,1,Athens,NY,http://www.field-goods.com/,.,0,1,0,0,LLC,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-73.80957,42.26036
Farm to Table Co-packers,1,Kingston,NY,http://farm2tablecopackers.com/,.,0,1,0,0,.,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-73.98651,41.92343
Winter Sun Farms,1,New Paltz,NY,http://www.wintersunfarms.com/,.,1,0,0,0,.,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-74.08449,41.7465
Lake to River Cooperative,1,Youngstown,OH,https://www.localfoodmarketplace.com/laketoriver/,.,0,1,1,1,.,0,0,1,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-80.64952,41.09978
Fair Ridge Farms,1,Hillsboro,OH,http://fairridgefarms.com/,.,1,1,0,0,.,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,-83.61159,39.20229
Shagbark Seed and Mill Company,1,Athens,OH,http://www.shagbarkmill.com/,.,0,1,0,0,LLC,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,-82.10126,39.32924
New Agrarian Center,1,Oberlin,OH,http://www.cityfresh.org/,.,0,1,0,0,.,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,-82.21738,41.29394
Chesterhill Produce Auction,1,Chesterhill,OH,http://www.ohiofoodshed.org/chesterhill/,auction,0,1,0,0,.,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,-81.86597,39.48841
Miami Valley Farm to Chef,1,Dayton,OH,http://www.mvfarmtochef.com/,.,0,1,0,0,.,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,-84.19161,39.75895
Grow Youngstown,1,Youngstown,OH,http://growyoungstown.org/,.,1,0,0,0,non-profit,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,-80.64952,41.09978
Oklahoma Food Cooperative,1,Oklahoma City,OK,http://www.oklahomafood.coop/,.,0,0,1,0,cooperative,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,-97.51705,35.47299
Urban Agrarian,1,Oklahoma City,OK,http://www.urbanagrarian.com/,.,0,1,0,0,.,0,0,1,0,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-97.51705,35.47299
Adelante Mujeres Distributor,1,Forest Grove,OR,http://www.adelantemujeres.org/agriculture/,"CSA, wholesale distributor",1,1,0,1,non-profit,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,-123.11144,45.51975
Eat Oregon First,1,Hillsboro,OR,http://www.eatoregonfirst.com/,.,0,0,0,1,.,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,-122.98983,45.52289
Country Natural Beef,1,Burns,OR,http://www.countrynaturalbeef.com/,multi-farm direct-to-wholesale food business chains,0,1,1,0,cooperative,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,-119.0541,43.58626
Lane Local Foods,1,Springfield,OR,http://www.lanefood.org/home.php,.,1,1,0,0,.,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,-123.09829,44.06482
Gorge Grown Food Network,1,Hood River,OR,http://www.gorgegrown.com/,.,1,1,0,0,non-profit,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,-121.52179,45.70531
Grow Portland (Portland Growers Alliance),1,Portland,OR,http://www.growportland.org/growers-alliance/,.,0,1,0,0,.,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,-122.67419,45.52025
Central Oregon Locavore,1,Bend,OR,http://www.centraloregonlocavore.org/,.,0,1,0,0,non-profit,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0,-121.31531,44.05817
Organic Produce Warehouse,1,Ashland,OR,http://opwfresh.com/,.,0,1,0,0,.,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,-122.7154,42.19725
Organically Grown Company,1,Eugene,OR,http://www.organicgrown.com/,.,0,1,0,0,s corp,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,-123.09505,44.05051
"Hood River Organic, Inc",1,Hood River,OR,http://hoodriverorganic.com/,.,1,0,0,0,.,0,1,0,0,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,-121.52179,45.70531
Penn's Corner Farm Alliance,1,Pittsburgh,PA,http://www.pennscorner.com/,.,1,0,1,1,cooperative,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,-79.99009,40.44169
Philly CowShare,1,Philadelphia,PA,https://www.phillycowshare.com/,.,0,1,0,1,LLC,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,-75.16359,39.9524
Clarion River Organics,1,Sligo,PA,http://www.clarionriverorganics.com/,.,1,1,1,0,.,0,0,1,0,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,-79.69171,40.6434
Lancaster Farm Fresh Cooperative,1,Leola,PA,http://www.lancasterfarmfresh.com/,.,1,0,1,0,.,0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,-76.18495,40.08787
"Northwest Pennsylvania Growers Cooperative, Inc",1,Mercer,PA,http://www.nwpagrowers.com/,.,1,0,1,0,cooperative,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,-80.30144,41.33345
Tuscarora Organic Growers Cooperative,1,Hustontown,PA,http://www.tog.coop,aggregator; wholesale distributor; farm-to-business,0,0,1,0,cooperative,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,-78.02695,40.04897
Common Market Philadelphia,1,Philadelphia,PA,http://commonmarketphila.org,distributor; farm-to-business/institution,1,1,0,0,non-profit,0,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,-75.16359,39.9524
GroundWork Farms,1,Millheim,PA,http://www.groundworkfarms.com/,.,1,1,0,0,.,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,-77.47666,40.8909
Greensgrow Farm,1,Philadelphia,PA,http://www.greensgrow.org/,.,1,1,0,0,.,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,-75.16359,39.9524
Lackawaxen Farm Company,1,Honesdale,PA,http://www.lfcfresh.com/,.,1,1,0,0,.,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,-75.25879,41.57676
Fair Food Philly,1,Philadelphia,PA,http://www.fairfoodphilly.org/,.,0,1,0,0,.,0,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,-75.16359,39.9524
Farm Fresh Rhode Island - Market Mobile,1,Pawtucket,RI,http://www.farmfresh.org/hub/,hybrid; Farm to consumer (Veggie Box); Farm to business/institution (Market Mobile),0,1,0,1,non-profit,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,-71.38256,41.87871
Little City Growers,1,Providence,RI,http://www.littlecitygrowers.org/about.html,.,0,0,1,0,cooperative,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-71.48567,41.75415
GrowFood Carolina,1,Charleston,SC,http://growfoodcarolina.com/,.,0,1,0,0,non-profit,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,-79.84798,32.80196
Cumberland Farmer's Market,1,Sewanee,TN,http://sewanee.locallygrown.net/,.,0,1,0,0,.,0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,-85.92109,35.20314
Good Food for Good People,1,Nashville,TN,http://goodfoodforgoodpeople.org/,.,0,1,0,0,.,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,-86.77435,36.16223
Cross Timbers Food Cooperative,1,Denton,TX,http://www.crosstimberscoop.org/,.,0,0,1,1,cooperative,0,0,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,-97.11949,33.22569
Greenling,1,Austin,TX,http://www.greenling.com/,.,0,1,0,1,.,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,-97.79316,30.34168
Bountiful Sprout,1,Wimberley,TX,http://localfoodmarketplace.com/bountifulsprout/,aggregator; online ordering,0,1,0,1,LLC,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,-98.09863,29.99744
CitySprout,1,Austin,TX,http://www.citysprout.com/,.,1,0,0,0,.,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,-97.79316,30.34168
Farm to Table Texas,1,Austin,TX,http://www.farmtotabletx.com/,.,,1,,,LLC,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,-97.79316,30.34168
Local Roots Food Co-op/Lulus Local Food,1,Goochland,VA,https://localroots.luluslocalfood.com,online marketplace,0,0,1,1,cooperative,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-77.88492,37.68244
Relay Foods,1,Charlottesville,VA,https://www.relayfoods.com/welcome,.,0,1,0,1,.,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,-78.47668,38.02931
Off the Vine Market Inc,1,Williamsburg,VA,http://www.offthevinemarket.com/store/pc/home.asp,.,0,1,0,1,LLC,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,-76.70745,37.2707
"Coastal Farms, Inc",1,Windsor,VA,http://www.cooppartners.coop/,.,0,1,0,1,LLC,0,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,-76.74412,36.80848
Fall Line Farms/Lulus Local Food,1,Richmond,VA,https://falllinefarms.luluslocalfood.com,online marketplace,0,1,0,1,,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,-77.43428,37.53851
Virginia Natural Fish Company,1,Farmville,VA,http://aquafarmers.com/,.,0,0,0,1,LLC,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,-78.39194,37.3021
Arcadia Center for Sustainable Food & Agriculture,1,Alexandria,VA,http://arcadiafood.org,farm; mobile market; food hub; farm-to-school; veteran farmer program,0,1,0,0,non-profit,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,-77.04702,38.80511
The Farm Table,1,Glen Allen,VA,http://www.thefarmtable.org/,.,0,1,0,0,.,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,-77.50637,37.66598
Horse and Buggy Produce,1,Charlottesville,VA,http://www.horseandbuggyproduce.com/,.,0,1,0,0,.,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,-78.47668,38.02931
Appalachian Harvest Network,1,Abingdon,VA,http://asdevelop.org/,food product aggregation and distribution,0,1,0,0,.,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,-81.97749,36.70958
Blue Ridge Produce Company,1,Elkwood,VA,http://blueridgeproduce.net,aggregator; distributor,0,1,0,0,B-corp,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,-77.85583,38.51179
Local Food Hub,1,Charlottesville,VA,http://localfoodhub.org,Farm to business/institution model; distribution; educational farm,0,1,0,0,non-profit,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,-78.47668,38.02931
EcoFriendly Foods,1,Moneta,VA,http://ecofriendly.com/,.,0,1,0,0,LLC,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,-79.61725,37.18125
Intervale Center,1,Burlington,VT,http://www.intervale.org/,.,0,1,0,1,.,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,-73.21149,44.4724
Farmers to You,1,Calais,VT,http://farmerstoyou.com/,.,0,1,0,1,LLC,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,-72.4465,44.39006
Green Mountain Farm Direct,1,Newport,VT,http://www.greenmountainfarmdirect.org/,.,0,1,0,1,.,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-72.20446,44.93584
Black River Produce,1,North Springfield,VT,http://www.blackriverproduce.com,wholesaler,0,1,0,1,private,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-72.52537,43.33285
Deep Root Organic Cooperative,1,Johnson,VT,http://deeprootorganic.coop/deeproot/,.,0,0,1,0,cooperative,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,-72.6804,44.63561
Saint Johnsbury Local Food Alliance,1,St. Johnsbury,VT,http://www.stjalfa.org/,.,0,1,0,0,.,0,0,1,0,1,0,1,0,1,0,0,,0,1,1,0,0,0,0,1,1,0,1,0,0,1,-72.0151,44.41922
Mad River Food Hub,1,Waitsfield,VT,http://madriverfoodhub.com/,.,0,1,0,0,.,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,-72.82484,44.19006
Food Works at Two Rivers - Farm-to-Table Program,1,Montpelier,VT,http://www.foodworksvermont.org/,.,0,1,0,0,.,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,-72.57536,44.26002
Windham Food and Farm Network,1,Brattleboro,VT,https://harvesttomarket.com/farmers-market/Windham-Farm-and-Food-Network,.,0,1,0,0,.,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,-72.56819,42.83734
Vermont Quality Meats,1,Rutland,VT,http://www.vtqualitymeats.com/,.,0,1,0,0,.,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,-72.97261,43.61062
Screamin' Ridge Farm,1,Montpelier,VT,http://www.screaminridgefarm.com/,.,1,0,0,0,.,0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,-72.57536,44.26002
Okanogan Producers Marketing Association,1,Okanogan,WA,http://okanoganproducers.org/,.,1,0,1,1,cooperative,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,-119.65275,48.51585
Full Circle Farm,1,Carnation,WA,http://www.fullcircle.com/,multi-farm direct-to-consumer business chains,0,1,0,1,.,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,-121.91294,47.64751
Northwest Farm Fresh,1,Chewelah,WA,N/A,.,0,1,0,1,.,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,-117.71552,48.27629
Acme Farms and Kitchen,1,Acme,WA,http://www.acmefarmsandkitchen.com,box scheme,0,0,0,1,.,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,-122.20516,48.71706
Seattle Tilth,1,Seattle,WA,http://www.seattletilth.org/,.,1,1,0,0,non-profit,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,-122.32094,47.7253
